sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample239,0.807,1.125,0.498,-0.629,0.3,1.536,-0.215,2.039,0.065,1.751,0.743,-0.49,1.302,-1.428,0.079,1.036,-0.705,-0.987,0.674,0.385,-0.089,1.355,1.834,0.075,0.479,-0.108,0.432,-0.181,0.453,-1.409,-1.111,1.787,-0.455,0.512,1.269,-0.644,0.654,-0.561,-0.617,-2.477,-0.634,-0.562,-0.114,-0.144,-0.42,-0.42,-0.913,0.247,0.147,1.168,1.748,1.702,-0.1,-0.96,1.149,1.612,-0.428,0.438,0.248,0.148,-0.074,-0.462,-0.189,-0.136,-0.6,1.143,0.267,2.135,-1.273,-0.211,0.505,-0.446,-0.055,0.197,-0.231
sample240,1.803,-1.906,1.036,0.263,0.678,1.237,0.248,0.059,-0.642,-0.145,-2.288,1.083,-1.585,0.227,0.729,-0.337,0.356,1.478,-0.767,0.476,0.79,-0.091,1.054,-1.556,-0.047,0.799,0.814,-2.681,-0.204,-1.647,-0.2,0.915,-0.6,-0.618,0.42,-2.411,0.367,0.32,0.313,-0.109,-1.586,-0.812,0.013,-0.708,0.471,-0.344,0.888,0.41,-2.132,0.206,0.921,0.883,-0.609,-0.627,-0.871,0.758,-1.989,-0.849,-0.136,-0.711,0.081,-1.759,0.18,0.198,-0.025,-0.058,-0.506,0.448,-1.456,0.175,-1.166,-0.814,1.843,-0.079,-0.724
sample241,0.133,-0.886,1.237,0.479,-1.18,0.456,0.619,1.333,-1.867,-0.31,-0.671,-0.5,-0.215,1.265,-0.486,0.864,0.95,-2.617,0.99,-0.887,-2.156,0.762,0.945,0.107,-1.856,-1.262,-0.169,0.293,0.997,1.13,-0.267,0.084,0.321,-0.464,-0.209,-0.04,0.717,0.306,0.303,-0.599,0.942,-0.915,0.346,-0.452,-1.091,0.254,-1.151,-1.254,0.619,0.266,0.977,-0.281,0.824,0.758,1.177,0.106,-0.355,1.062,2.037,-0.47,-1.531,0.595,-1.406,-1.683,0.254,-0.837,0.088,0.282,0.099,1.379,0.633,0.732,-0.069,1.13,-0.767
sample242,-0.148,-2.912,0.56,-1.296,-0.358,-0.319,0.663,-0.427,0.743,0.525,0.649,-0.334,-0.127,0.398,0.643,-0.042,-1.553,-0.858,0.938,0.551,-1.014,-0.369,-0.805,0.467,1.987,-0.498,1.016,0.428,-0.138,-1.036,-0.759,-1.138,-0.429,-2.524,0.5,-0.319,2.201,0.315,-0.176,-0.757,0.242,0.133,1.187,-1.541,0.224,-0.67,0.409,-0.351,-0.159,-0.141,-1.311,0.255,0.194,-0.172,-1.438,-0.163,-0.153,0.438,1.325,0.734,1.887,-1.108,0.531,-1.041,1.171,0.598,-0.644,-0.597,1.544,0.702,-0.416,-0.127,0.077,1.122,0.415
sample243,-0.005,0.721,0.381,0.091,0.063,0.119,-1.625,1.185,-0.289,0.078,-0.784,1.275,-1.367,1.009,0.259,-0.626,-0.821,0.736,0.461,0.455,1.865,-0.627,1.153,-0.422,-0.926,0.34,2.184,-1.775,1.999,0.563,-1.23,0.104,-0.236,-0.225,-0.741,0.383,0.365,-0.35,-1.247,-0.858,0.274,-2.071,-0.502,-2.319,1.326,0.624,-0.69,0.351,-0.075,-0.282,0.567,-2.171,0.258,1.372,0.391,0.405,1.774,0.649,-0.403,1.327,0.112,0.539,1.26,0.413,1.594,-0.065,-0.533,0.285,0.052,0.765,0.26,1.719,0.326,0.294,-1.25
sample244,1.493,-0.235,-0.42,-0.368,-0.432,0.136,-0.726,-1.329,1.956,-1.369,-0.827,-0.837,-0.223,-0.709,0.146,0.968,0.747,0.5,-0.643,0.469,1.222,1.086,0.108,1.298,0.789,-0.259,-1.138,-1.064,-0.64,-0.703,-1.577,-0.052,-0.712,0.057,-0.576,-1.167,0.045,0.643,-0.571,1.776,-1.023,1.299,-0.961,0.445,-0.298,0.5,-1.477,0.994,-2.151,-0.661,-0.676,0.654,1.513,-0.197,-0.469,-1.773,2.198,-2.153,-2.763,-1.08,-0.16,2.015,1.429,0.915,-0.469,-0.097,0.027,-1.424,0.69,-1.475,-0.712,0.292,0.135,-1.103,-0.731
sample245,1.592,-0.381,2.299,0.626,1.266,-0.553,0.901,-2.763,-1.399,-0.23,-0.843,0.875,1.311,-1.661,0.809,0.098,1.394,-0.753,-0.366,-0.406,0.544,1.064,-1.477,-0.352,-3.265,1.323,0.341,-0.043,1.364,0.45,-1.457,1.766,0.532,-1.483,-1.002,-1.098,0.99,2.175,1.936,0.534,-0.193,-1.059,-0.583,0.993,0.134,2.354,-2.154,2.486,0.047,0.177,0.028,-1.697,-0.226,0.375,0.678,-0.282,-0.419,-1.207,-0.799,-0.691,0.115,-1.096,-0.881,2.149,0.114,1.477,-0.08,-0.6,0.434,0.031,-0.873,-0.47,-0.44,-0.643,0.201
sample246,1.148,0.972,0.379,-0.52,-0.115,2.282,1.35,1.376,-0.537,-1.994,0.444,-0.557,-0.441,0.071,1.367,-0.553,0.757,-0.512,0.942,1.084,-0.288,-0.066,0.401,-0.747,-1.799,-1.622,0.912,-1.105,1.198,-0.515,0.799,-1.293,-0.049,-1.098,1.174,0.316,0.46,-0.612,1.149,-0.998,0.553,-0.418,-0.008,-0.224,0.475,0.148,0.222,0.623,-2.674,-1.657,-1.41,-0.152,0.255,0.273,0.678,0.354,0.207,-2.044,0.996,0.354,-0.853,-1.11,1.261,1.314,1.121,-0.541,0.098,-0.848,1.858,-0.609,-0.831,0.919,-0.575,0.181,-1.21
sample247,2.046,0.157,0.481,-1.753,0.251,-1.003,-1.433,0.903,-0.264,-0.304,-0.389,-0.799,-0.001,-0.615,-1.365,0.336,0.493,0.965,-1.375,1.063,1.635,0.418,0.986,-0.967,-0.26,1.33,-0.243,-1.156,1.007,-0.404,-1.237,-0.918,-0.578,0.531,1.887,-0.262,-1.048,-1.453,0.109,1.422,0.794,0.057,-1.127,2.059,1.101,-0.113,0.623,1.046,0.74,1.13,0.731,-0.455,1.213,0.738,1.122,-1.761,1.304,0.409,0.37,-1.838,0.25,-1.15,0.354,-0.555,-0.235,1.263,0.299,-0.609,0.586,0.126,0.946,0.675,0.349,-0.812,1.74
sample248,-0.921,2.434,0.165,-0.763,-0.196,-0.28,0.37,-1.29,-1.343,1.336,-0.232,0.073,-0.306,0.94,-0.134,-0.642,-0.549,0.309,0.304,-0.49,-0.521,0.24,-0.14,-0.525,-0.402,-1.341,1.363,0.88,-1.345,-0.988,-0.715,-1.002,0.223,-0.417,-0.202,-1.15,-1.05,-0.785,0.008,0.462,0.272,0.295,0.649,0.678,-0.109,-0.956,0.548,0.438,0.623,0.004,-0.171,0.969,-0.527,0.534,0.282,-0.966,1.279,-1.37,0.978,1.003,0.713,1.073,-1.385,0.41,0.317,0.426,-0.613,0.994,0.737,0.802,-0.339,-0.329,-0.599,-0.475,1.134
sample249,0.886,-0.197,0.96,-0.998,1.393,-1.79,0.392,-0.274,-0.309,0.841,0.164,1.181,-0.89,-0.002,-1.003,-0.319,0.216,-0.418,0.289,0.898,0.978,-0.657,0.491,-1.367,0.766,0.501,0.23,-0.275,-1.025,0.668,0.275,0.772,0.706,-1.073,0.038,-1.417,0.079,0.442,-0.45,0.396,1.463,0.415,0.535,0.475,-0.418,-0.875,-0.059,0.749,0.696,-1.197,-0.477,0.877,2.409,0.727,-0.867,-0.048,1.1,0.076,0.393,-0.168,-0.291,0.325,-0.185,-0.025,-1.23,1.087,-2.108,-1.134,0.366,-0.629,-0.03,-1.059,-0.699,-0.593,-0.627
sample250,0.64,0.043,-1.095,0.408,-0.569,0.222,1.534,1.993,0.764,1.705,-0.93,-0.843,-0.373,-0.112,0.43,0.033,-2.843,-0.7,1.37,-1.126,1.087,-0.543,-0.906,-0.821,-0.425,2.34,1.215,1.331,0.858,-1.554,0.976,-0.692,-0.57,-0.206,0.1,0.43,0.195,0.232,-1.308,1.137,-1.078,0.219,-1.599,-0.726,1.738,0.969,-0.036,0.497,-0.459,-1.475,-0.395,1.063,0.76,0.145,0.124,0.702,-0.183,-0.704,1.049,-0.816,-0.366,-0.348,0.557,0.685,1.713,0.998,1.297,1.364,-1.759,-0.696,1.033,0.446,0.476,-1.245,-1.078
sample251,-0.662,-1.33,-0.118,0.356,-0.002,0.253,-0.94,1.478,0.797,-0.927,-1.658,0.197,0.74,-0.786,1.143,-1.641,-0.288,1.204,-1.606,0.112,0.44,-0.517,-1.793,-0.93,0.293,-0.883,0.515,0.733,0.469,0.419,-0.683,1.161,1.023,-0.361,-0.518,-1.629,0.317,-1.339,-0.206,1.857,0.177,0.312,-0.433,-1.557,-0.189,0.615,0.072,-1.262,-1.448,-0.11,-0.214,-1.04,0.47,0.75,0.386,-1.414,-0.619,-1.588,0.565,-1.894,1.435,-0.878,0.165,1.517,1.015,-1.184,0.758,0.663,-0.005,-1.583,-0.514,-0.578,0.872,0.337,-0.27
sample252,-0.861,2.136,1.835,0.509,-1.204,-0.339,0.422,0.21,-0.644,0.637,0.305,0.078,0.972,1.964,1.703,0.941,-0.781,1.129,2.229,1.288,0.09,-0.478,-0.316,1.071,-1.201,-0.472,0.16,-1.427,-0.104,1.318,1.521,-0.527,-0.764,0.739,-1.023,0.152,0.846,-0.438,1.204,0.413,-1.662,0.832,0.37,0.832,0.052,-0.825,0.29,1.349,3.306,-0.261,0.565,-0.561,0.41,-0.973,-0.108,-0.537,-0.178,-0.674,0.864,-1.046,1.11,-0.192,-0.947,0.074,-0.16,-0.349,0.351,0.582,0.166,0.912,1.395,-1.586,0.01,-0.825,-0.655
sample253,2.377,-1.609,-0.743,1.932,1.851,1.053,-1.2,-0.052,-0.281,-0.597,-0.982,0.102,-0.654,-0.471,-0.97,-0.625,-0.234,0.62,1.598,-1.073,0.28,0.179,-1.049,-0.252,0.593,0.907,-0.325,-0.224,0.797,-0.03,0.385,0.156,0.656,-0.834,0.656,-1.036,-0.843,1.014,-0.262,0.089,1.254,-0.423,-0.136,2.717,-0.997,-0.936,-0.126,-0.599,-0.373,0.012,0.143,-1.175,-0.38,-0.609,-0.398,-1.15,-0.074,0.621,0.509,0.121,1.898,-0.959,2.069,0.823,0.029,-1.564,1.648,-0.202,0.251,-1.504,1.123,-0.84,-0.199,0.38,-0.766
sample254,0.62,-0.293,-1.236,1.027,-1.206,-0.675,-0.619,-1.073,-0.177,-0.191,0.327,1.141,-1.307,1.122,-0.563,0.207,0.077,0.173,-0.538,1.062,-1.114,1.046,-0.248,0.967,1.074,0.259,-1.555,-0.284,1.375,1.241,0.02,0.75,-0.367,0.391,0.124,0.803,1.123,0.013,0.4,-0.849,-0.069,0.493,-0.078,0.919,-0.502,-2.735,-0.417,-1.372,0.313,1.618,-1.243,-0.002,0.211,-0.782,-1.978,0.111,0.514,1.663,1.24,0.281,-0.498,2.183,-0.566,-0.139,-0.232,-0.708,-0.704,-0.072,1.865,0.597,-1.075,-0.637,-0.056,0.948,-0.586
sample255,-1.151,-0.176,-0.268,0.288,-0.088,0.867,-0.747,-0.753,0.466,0.577,-0.161,0.65,0.307,1.346,0.325,-0.549,-0.078,2.098,0.314,0.095,-0.624,0.854,-0.036,-0.878,-0.566,1.212,1.763,-0.323,0.971,-1.201,-0.558,-0.627,-1.008,-0.247,-0.751,-0.761,-0.928,-1.394,-1.554,-0.405,0.292,0.159,0.295,0.601,0.045,-0.704,-1.245,0.634,-0.748,-1.36,0.307,0.575,-0.522,1.512,0.874,1.965,-0.653,-0.598,1.221,-0.097,-0.165,-0.75,-1.439,0.852,-0.042,0.106,-0.642,0.249,1.411,1.896,-0.443,0.308,1.123,-0.499,1.349
sample256,0.65,-0.498,0.027,-1.119,-0.668,-0.599,-0.512,1.052,-1.322,-0.439,-0.168,-0.822,-0.906,-0.57,0.235,-0.841,-0.808,2.775,-0.076,-0.663,-0.3,-1.14,0.962,1.326,0.499,0.095,-0.057,-0.57,1.408,0.135,-1.445,-2.087,0.801,1.178,0.577,1.097,-0.534,1.279,0.986,-1.738,-1.185,0.004,0.216,1.57,-1.666,1.32,0.388,-1.15,-0.162,-1.607,0.176,0.162,-0.156,0.646,1.508,0.269,-1.131,0.613,1.373,0.511,-0.378,-0.46,-0.865,1.389,-0.421,1.023,1.09,-1.546,-0.644,0.433,-0.132,1.411,-0.696,-0.384,-2.064
sample257,-0.092,-1.055,0.655,-0.54,-1.564,-0.567,0.901,1.207,-0.664,-1.023,-0.121,1.101,-0.805,-0.477,-1.289,-0.471,2.334,-0.386,-0.257,1.687,-0.515,-0.797,1.112,0.531,1.456,-0.682,-0.16,-1.001,0.555,0.149,1.897,2.988,-0.347,-0.121,0.766,0.546,0.519,-1.888,0.079,0.684,-0.979,2.074,0.837,-0.091,0.743,0.663,2.304,-1.318,-1.733,-0.736,0.491,1.108,-0.102,-0.351,-0.908,0.111,1.132,-2.951,0.222,-0.374,-1.295,1.494,-1.773,1.724,-2.644,0.624,-0.541,0.617,0.225,1.313,0.154,-0.558,-0.478,0.83,-0.447
sample258,0.052,0.982,0.344,-1.167,1.441,0.348,-1.486,-0.571,-0.21,2.215,0.981,0.105,-1.901,-0.097,-0.203,1.257,-0.01,-0.003,-1.143,2.236,0.964,0.134,-1.182,-0.665,-0.778,0.671,-0.496,0.593,-0.25,-0.223,-0.627,0.757,-0.028,0.093,-0.756,0.581,0.964,-0.836,1.191,-0.14,0.793,-1.405,0.517,0.132,1.0,-0.392,-0.635,0.012,0.518,0.57,-0.801,0.068,-1.849,0.033,0.005,2.005,0.542,0.087,-1.032,-0.311,1.636,-1.133,1.775,-2.243,0.556,-0.026,-1.477,0.877,-0.588,0.754,-1.242,-0.271,-0.212,0.589,1.131
sample259,0.475,0.173,-2.274,-2.325,0.717,0.555,-0.167,-1.082,-0.239,-0.382,-1.4,1.164,-1.548,-1.048,-1.323,-0.573,-0.881,0.33,0.687,-1.84,-0.418,1.575,1.713,2.146,-0.501,1.948,1.213,1.651,-0.139,0.509,0.156,2.381,-0.411,0.396,1.065,1.468,0.458,1.988,2.26,1.094,1.518,0.623,-0.862,0.651,1.307,0.646,-2.058,1.735,1.167,1.426,-0.216,-0.265,-0.365,0.352,-0.758,-0.717,1.166,-0.042,-0.553,-0.886,2.541,1.062,0.691,1.192,1.117,-1.749,-0.531,0.437,-0.442,0.146,-0.627,-0.736,-1.648,0.508,-0.598
sample260,-1.587,-0.507,-2.405,1.002,0.936,-1.229,0.834,-0.55,1.152,0.28,0.321,-0.189,0.601,0.851,1.189,0.964,-0.007,-0.567,-1.339,0.554,0.703,-1.363,0.285,1.779,0.599,-0.004,0.142,0.266,0.045,-0.379,-1.911,-0.92,-0.643,0.949,-1.499,-0.516,1.293,2.564,-0.154,-0.141,0.581,0.195,-0.307,1.0,-1.259,-0.674,-1.146,-1.191,0.746,-0.739,-0.24,-0.752,0.459,1.836,0.552,0.334,0.272,-0.397,-0.34,-0.187,-0.812,1.432,-0.954,0.676,1.275,-0.347,0.0,-0.994,0.483,-0.152,0.2,-1.337,-1.378,-1.212,0.892
sample261,-0.273,-0.349,0.721,-0.336,-1.537,-0.946,-0.809,0.773,0.042,0.04,1.688,-0.193,-0.733,-0.343,2.345,-1.127,-0.45,-1.261,-0.12,-0.348,0.498,-0.695,-0.25,0.758,1.154,1.295,-0.005,2.01,-1.456,0.619,0.114,-0.555,-0.122,0.499,0.389,0.721,-0.66,0.156,-1.027,-1.487,0.882,0.479,0.379,0.906,1.315,0.89,-0.438,0.576,-0.208,0.218,-0.161,0.54,0.476,-0.482,-1.724,0.338,0.115,-1.245,3.118,0.898,-1.43,0.772,-0.916,-1.111,1.204,1.058,0.997,-1.356,0.799,-0.427,0.024,1.043,0.145,-0.673,-2.201
sample262,0.915,-1.227,0.991,1.668,0.996,1.232,-0.819,-0.29,-1.886,-0.914,0.006,-0.547,-0.892,0.976,-1.104,0.494,0.034,0.897,0.411,-0.077,-0.258,0.86,-0.396,-0.825,0.483,0.752,0.856,1.843,-0.926,-0.418,1.196,-0.384,1.034,0.517,0.181,-0.951,-1.088,-0.277,0.358,1.118,0.827,2.125,-0.687,1.933,-0.281,0.15,-1.279,-0.161,2.061,0.555,-0.709,-0.912,-0.785,0.238,-0.43,1.22,-0.041,0.701,-0.175,-0.154,-1.192,-2.075,1.338,-1.765,0.149,0.119,0.471,2.028,-0.405,0.962,0.764,-0.632,1.418,-0.967,-0.477
sample263,-0.196,1.593,1.134,0.414,-1.779,-1.229,1.555,1.959,0.671,-0.685,-1.198,-0.405,-0.262,-0.749,-0.962,-0.997,-0.999,0.574,-0.728,-0.051,-0.296,2.093,0.038,0.803,-0.162,0.546,1.471,-0.831,0.351,1.403,-0.11,1.133,-0.736,-0.576,-1.264,-0.349,-0.306,0.832,1.519,-2.633,1.013,0.31,-1.347,0.646,-0.668,-0.576,3.079,-0.463,2.185,2.251,-0.701,0.426,0.721,0.408,-2.033,0.961,-0.838,-0.121,-1.002,-0.06,-0.647,-0.195,0.89,0.737,0.117,1.234,-0.492,1.54,-1.398,0.686,-1.724,-0.096,0.19,0.048,0.308
sample264,-1.85,0.958,-1.118,0.189,-0.533,1.472,-0.752,-0.216,-0.171,-1.891,0.379,-1.173,-1.522,-1.011,-0.968,0.109,-0.301,-0.722,2.151,-0.717,-1.179,1.12,-0.292,1.491,0.823,0.77,-2.315,-0.989,-0.966,0.806,0.121,-1.431,0.83,0.468,0.77,0.693,-1.59,0.074,0.472,-1.539,1.16,-2.477,0.042,-0.601,-0.522,-0.857,0.983,-0.934,-1.979,0.46,0.217,-0.083,0.724,-0.647,-1.429,-1.389,1.73,0.137,0.382,-1.382,-1.448,0.066,0.708,0.623,0.325,-1.047,-0.501,-0.795,-0.753,0.022,0.162,-1.815,0.525,-0.3,1.043
sample265,-1.809,-0.13,0.71,-0.517,0.191,0.938,-0.068,-1.725,-0.281,0.534,-0.138,-1.003,-1.111,0.915,-0.929,0.749,0.402,-0.927,2.116,0.478,-1.045,0.224,-0.975,2.194,1.36,1.007,0.74,0.999,0.922,0.173,0.853,-1.141,0.248,-2.606,0.345,0.723,-0.495,0.256,0.035,-0.336,-0.79,1.018,0.942,-1.121,-2.067,1.506,0.148,0.087,0.612,1.324,-0.32,-0.712,0.899,0.335,-1.756,0.097,1.125,-0.991,0.06,-0.686,-0.494,0.354,0.714,-0.441,-2.0,-0.606,0.615,-0.246,-1.087,0.254,1.143,0.213,-0.722,1.703,0.62
sample266,0.43,-1.385,0.017,0.982,1.341,-0.989,-1.523,0.806,0.712,0.489,-0.719,-0.934,-1.329,0.188,0.906,-1.399,1.697,0.289,-0.367,-0.72,1.19,-0.233,0.194,-1.011,1.647,-0.477,-0.188,-0.245,-1.791,1.447,0.09,1.295,0.918,-0.364,0.657,1.577,0.233,-1.997,-0.757,-0.928,0.155,0.281,0.017,-0.035,0.337,-0.634,-0.63,-0.96,0.212,0.425,-0.288,1.274,1.107,1.288,1.181,1.654,-1.329,-1.01,-0.893,0.798,0.468,0.374,-0.26,-0.308,-0.022,-0.152,-0.371,0.372,0.229,0.162,0.169,3.071,0.485,-0.494,-0.554
sample267,0.651,-1.266,0.394,-0.494,-0.978,1.15,-0.25,0.499,-1.649,-0.805,-0.771,0.988,-1.026,0.307,2.743,0.105,-1.422,0.88,1.02,-0.866,-0.474,-0.281,-0.908,-1.056,-0.238,0.392,0.013,-0.309,-0.988,1.153,0.204,-0.508,-2.473,-0.911,-0.288,0.305,-1.324,-0.994,1.732,-0.383,-0.436,-1.067,-0.26,-0.202,-0.409,-0.001,1.331,-0.381,0.553,0.56,-1.353,0.574,0.077,1.346,-0.498,-0.737,1.233,-1.791,-0.693,-0.261,0.358,1.13,0.138,-0.511,0.944,-0.045,-0.466,-1.59,-0.188,-0.084,-1.79,0.684,-2.153,-0.043,-0.257
sample268,-0.419,1.007,2.123,0.611,-1.144,-1.233,0.666,0.876,0.694,-0.138,-0.328,-0.758,-1.164,0.472,-1.422,-0.543,1.032,0.194,0.45,2.15,-0.49,0.601,-0.372,0.362,0.256,-0.151,0.148,-1.212,-0.139,-0.276,0.658,-0.455,1.174,0.999,-0.032,-1.05,-0.696,-0.02,0.707,-0.338,1.153,-1.397,0.333,0.052,-0.916,0.251,-1.164,-0.387,1.659,1.13,-2.334,-0.214,-0.718,1.672,-1.223,-2.354,1.838,-2.1,0.773,0.258,-0.211,0.28,-0.958,0.438,1.289,0.214,-0.573,-1.116,-1.084,-1.187,-0.512,-1.104,1.425,-0.596,-1.37
sample269,1.264,-0.289,-0.295,-1.312,-0.855,-0.286,0.623,-0.59,-0.49,-0.645,0.455,-0.409,0.954,1.696,-0.59,-0.03,-0.257,-1.64,-0.256,-0.634,-0.078,0.821,0.394,1.186,1.951,-2.248,-0.352,1.687,-1.34,0.761,0.386,-1.535,-0.255,-0.103,-1.696,0.147,0.951,-0.379,0.085,0.262,-1.286,-0.813,-0.208,-1.411,0.385,0.249,0.195,-1.042,-0.29,-0.614,0.458,-0.278,-0.755,-1.098,-0.415,0.304,-2.168,0.246,0.48,1.548,1.84,0.164,-1.051,1.317,-0.011,1.643,0.471,0.265,0.352,0.905,-0.117,-0.647,0.466,-0.154,0.227
sample270,-0.951,0.706,-1.08,0.729,-1.675,-2.121,0.104,0.201,1.154,0.324,1.563,-1.715,0.128,0.905,-1.444,-0.439,-0.157,-0.01,-0.192,-0.677,0.267,0.621,0.904,-0.251,0.229,-1.251,-0.224,0.519,-0.93,-0.501,-0.899,0.692,1.83,-0.144,-0.235,-0.121,0.712,0.991,-0.374,-0.369,-0.932,-0.381,-0.181,0.728,-0.445,-0.387,0.52,1.48,0.466,-0.803,0.648,0.763,0.478,0.329,-0.571,-0.416,0.049,0.003,0.57,-0.093,-0.487,0.662,0.014,0.92,-0.047,0.305,-0.972,0.265,1.23,-0.659,0.232,0.154,-0.11,0.695,-0.556
sample271,0.322,0.528,-0.934,1.5,-0.472,0.422,1.951,0.809,-0.605,-0.355,-1.62,-1.583,-0.25,0.42,0.835,0.394,-0.058,-0.207,-0.651,1.063,-0.072,-0.804,-0.73,0.398,0.57,-0.642,0.258,0.281,-1.509,0.086,-1.737,1.121,-2.878,-0.277,0.267,1.232,-0.943,-1.458,-1.078,-0.481,0.56,-0.062,1.76,-2.936,-1.432,-0.499,-0.631,0.294,-1.049,1.681,1.067,0.222,-1.499,1.504,-1.113,-1.097,0.371,0.09,1.275,0.32,0.432,-1.469,-0.677,-1.946,-0.581,0.349,-1.216,1.056,-0.683,0.635,-1.486,-1.192,0.902,0.908,0.284
sample272,-1.831,-1.334,0.335,0.85,-0.617,0.51,0.292,0.391,-0.409,-0.944,0.406,-0.016,-0.604,0.02,0.339,-0.622,-1.248,0.219,0.198,1.919,-0.675,-1.572,-0.067,-1.042,0.866,-1.235,1.382,-1.495,-1.789,-1.277,-0.446,1.383,0.148,-0.88,1.178,0.392,1.04,0.141,0.552,-0.909,-0.916,0.086,0.472,-0.239,-0.65,0.609,-1.353,1.117,-0.133,0.585,-0.141,-2.692,-0.211,0.779,-1.44,0.649,-0.665,1.595,1.288,-0.26,-1.718,-0.216,0.86,0.073,-0.282,-1.423,-0.116,-0.705,-2.551,-2.342,1.38,1.533,2.534,-1.592,-0.097
sample273,0.475,1.458,0.894,1.97,0.469,0.092,0.36,-0.057,-0.416,0.825,1.15,-0.511,-1.013,-0.515,2.844,2.107,1.105,0.878,-1.152,0.056,-0.842,0.031,0.378,1.057,1.1,-0.594,0.364,-0.575,-0.203,0.879,0.472,0.678,0.6,-2.126,0.209,-0.09,-1.956,0.144,-0.905,2.103,1.072,-1.059,0.198,-0.43,0.765,-0.191,-0.522,-0.744,-0.841,-1.432,0.404,-1.018,0.09,0.024,0.436,1.398,0.766,0.633,-0.871,0.865,-1.756,-0.024,1.499,0.357,0.292,-2.373,-0.46,-0.012,-0.579,-0.17,-0.774,-0.526,2.341,1.969,-0.706
sample274,-0.808,0.983,-2.069,-1.064,2.533,-0.688,0.478,-0.711,0.608,1.024,-0.83,0.357,2.307,1.468,0.138,-0.351,-1.245,-1.228,0.875,0.738,-0.391,1.267,-1.01,-1.744,0.882,-0.942,0.889,1.208,0.794,0.185,1.074,0.534,0.959,-0.913,1.493,0.753,0.721,0.213,1.264,0.564,2.242,-0.811,-1.487,-1.003,-0.758,0.327,-0.897,1.105,-0.717,0.663,-1.962,0.518,0.472,-0.952,0.141,-0.841,0.111,-0.241,-0.748,-0.431,-0.24,0.753,-0.361,0.683,0.779,-1.413,-0.389,-0.364,0.9,0.282,-0.687,0.675,-2.122,1.421,1.242
sample275,0.38,-0.959,-1.613,-0.543,1.112,-0.813,-1.279,-0.582,0.232,-0.719,0.643,0.034,-1.352,-0.916,0.56,1.8,0.624,0.668,1.456,-0.432,2.564,-0.053,1.333,1.161,-0.03,1.097,-0.307,0.179,0.842,-0.0,1.006,-0.012,-0.173,-0.412,-0.576,-0.458,1.466,-0.474,-1.061,-1.265,-0.551,0.981,-0.844,0.23,0.51,0.569,-0.259,-0.768,0.66,0.752,1.96,1.065,-1.013,-0.411,-0.484,0.116,0.713,-1.066,0.156,0.501,0.298,-0.154,0.605,0.249,0.165,0.255,-0.03,1.076,1.147,-0.808,-0.271,1.246,-1.055,0.891,0.479
sample276,-1.311,1.081,-0.341,0.487,-0.085,-0.053,-1.583,-0.079,-0.269,-0.874,-0.034,-1.11,-1.682,-0.325,-0.383,0.672,-0.317,0.642,2.273,-0.764,-1.108,1.703,-1.723,0.141,-0.386,-0.874,-0.804,2.691,0.436,0.351,-0.115,-0.518,-1.919,0.049,-0.321,0.03,0.611,0.368,1.146,-0.311,-1.376,-0.301,1.477,-0.876,0.872,0.553,-0.106,-0.467,1.065,-1.996,0.59,0.905,0.915,-1.051,0.919,-0.759,-0.555,0.588,-1.12,-0.399,0.9,1.029,1.228,1.097,-0.144,0.705,-1.223,1.484,-1.452,1.981,-1.687,-0.25,0.983,-0.096,-0.452
sample277,0.675,0.094,-0.895,1.391,-1.873,0.58,-1.862,0.049,0.868,1.235,-1.201,1.279,1.046,1.403,-0.615,0.569,-0.463,-0.264,-1.554,1.459,0.681,-0.252,-1.571,-0.179,0.407,-1.63,-1.103,-0.614,-1.326,1.534,0.188,0.02,0.406,1.589,0.902,-0.832,0.736,-1.093,0.342,-0.159,1.03,-0.217,-0.644,-1.758,-0.516,0.612,-1.129,-0.723,-0.569,0.564,-0.681,0.662,-0.442,-0.027,0.098,0.38,0.146,-0.442,-0.235,0.663,-0.189,0.341,-0.029,-2.362,2.581,3.046,1.083,0.379,-1.659,-0.196,1.23,-1.768,0.868,0.587,-0.026
sample278,0.84,-0.904,0.256,1.419,0.468,-1.363,1.792,-0.419,1.186,-0.463,0.642,0.3,1.045,-0.378,-0.807,-0.145,1.047,-0.439,-1.404,0.08,-0.309,0.889,0.657,-0.493,-0.771,-0.271,0.066,-0.486,0.645,-1.031,0.098,1.022,-0.16,0.679,-0.174,-2.274,-0.197,-0.737,-0.019,-0.441,-0.305,0.619,-0.497,-0.833,-1.478,0.227,-0.25,-1.556,0.323,-0.935,-3.511,1.562,-2.937,-0.662,-1.143,1.648,0.77,-0.532,-0.02,0.78,0.436,-0.12,-1.251,0.944,0.686,-1.212,-0.786,-0.94,-0.246,-0.043,-0.391,0.921,0.413,0.144,0.915
